time,avg_generation solar,avg_generation wind onshore,avg_total load actual,max_generation solar,max_generation wind onshore,max_total load actual
2015-08-02,1371.375,8305.291666666666,28173.458333333332,4206.0,11419.0,35088.0
2015-08-03,1780.6666666666667,4198.5,24382.5,4936.0,10783.0,29477.0
2015-08-04,1006.0833333333334,9177.958333333334,28288.458333333332,2723.0,10660.0,32795.0
2015-08-05,1934.625,8785.958333333334,28102.208333333332,4255.0,11222.0,32126.0
2015-08-06,1950.6666666666667,4579.333333333333,29965.458333333332,4474.0,7052.0,34489.0
2015-08-07,2328.25,6210.416666666667,33533.833333333336,5289.0,8628.0,39213.0
2015-08-08,771.7083333333334,5019.75,27165.0,2314.0,7861.0,30608.0
2015-08-09,1851.0833333333333,1337.75,27434.958333333332,4942.0,3868.0,31345.0
2015-08-10,1509.3333333333333,3084.5,27549.75,4271.0,6036.0,31935.0
2015-08-11,1289.4583333333333,5600.333333333333,23395.166666666668,4114.0,7630.0,27464.0
2015-08-12,391.7916666666667,2559.375,25878.625,1554.0,5988.0,30698.0
2015-08-13,2134.0416666666665,8399.958333333334,29137.333333333332,5221.0,10536.0,33466.0
2015-08-14,2141.4583333333335,4369.583333333333,27530.583333333332,4979.0,6281.0,31300.0
2015-08-15,1991.5,3122.7083333333335,23924.791666666668,4581.0,4046.0,26669.0
2015-08-16,2006.3333333333333,2096.75,23092.916666666668,4981.0,3438.0,26927.0
2015-08-17,2096.875,2966.0833333333335,27296.916666666668,4747.0,5989.0,31593.0
2015-08-18,2212.0,3824.9583333333335,27447.125,5050.0,6138.0,31445.0
2015-08-19,2173.5,2580.1666666666665,27718.666666666668,5082.0,4678.0,31663.0
2015-08-20,2214.4166666666665,2671.5833333333335,28708.833333333332,5148.0,3757.0,33077.0
2015-08-21,1772.3333333333333,3200.6666666666665,29220.875,4582.0,6002.0,33945.0
2015-08-22,1834.9583333333333,4671.5,26161.583333333332,4263.0,8206.0,29343.0
2015-08-23,1780.2916666666667,9695.625,23906.125,4597.0,12060.0,27893.0
2015-08-24,1677.6666666666667,7143.166666666667,27888.416666666668,4122.0,11678.0,32037.0
2015-08-25,2288.7083333333335,3255.6666666666665,28529.0,5356.0,5243.0,33233.0
2015-08-26,2231.6666666666665,5969.25,28663.166666666668,5276.0,7790.0,34275.0
2015-08-27,2113.9583333333335,6379.708333333333,29955.333333333332,5185.0,8587.0,34786.0
2015-08-28,2207.9166666666665,3690.2916666666665,30108.166666666668,5275.0,6312.0,35098.0
2015-08-29,1698.0,5712.416666666667,27191.958333333332,4876.0,6928.0,30574.0
2015-08-30,1327.0416666666667,5853.416666666667,25488.583333333332,4356.0,7480.0,29665.0
2015-08-31,941.875,3685.3333333333335,30845.708333333332,2434.0,5400.0,36645.0
2015-09-01,1134.8333333333333,4013.5,32235.541666666668,3907.0,10948.0,37381.0
2015-09-02,1313.25,8255.291666666666,33382.708333333336,3939.0,10623.0,40030.0
2015-09-03,1905.9583333333333,2839.5,29104.0,5251.0,6936.0,34668.0
2015-09-04,671.375,5254.166666666667,28622.208333333332,1908.0,6042.0,32995.0
2015-09-05,2249.125,2248.1666666666665,25433.958333333332,5407.0,5315.0,28516.0
2015-09-06,1730.0416666666667,5066.333333333333,30146.416666666668,4085.0,8472.0,34143.0
2015-09-07,2434.625,5383.291666666667,32615.416666666668,5281.0,8177.0,37647.0
2015-09-08,1216.2916666666667,5321.25,24409.041666666668,3603.0,7472.0,28362.0
2015-09-09,1638.2083333333333,2339.5,28185.708333333332,4579.0,3196.0,32390.0
2015-09-10,1316.375,1372.125,26900.25,3893.0,2784.0,30753.0
2015-09-11,1294.7083333333333,1555.8333333333333,27177.416666666668,4052.0,3170.0,32238.0
2015-09-12,458.9583333333333,3574.25,29814.625,1861.0,5780.0,35394.0
2015-09-13,1693.1666666666667,8738.041666666666,23277.083333333332,4611.0,10981.0,27941.0
2015-09-14,1562.4583333333333,6050.625,27586.416666666668,4514.0,9044.0,31684.0
2015-09-15,1126.2083333333333,9195.416666666666,28251.916666666668,3498.0,11769.0,32118.0
2015-09-16,811.625,12327.5,28659.25,2402.0,14599.0,32590.0
2015-09-17,1865.0,5739.208333333333,27931.625,4860.0,11150.0,31606.0
2015-09-18,2098.5833333333335,2589.375,27642.208333333332,5194.0,4754.0,31423.0
2015-09-19,2113.8333333333335,3602.0416666666665,24741.333333333332,5259.0,4551.0,28018.0
2015-09-20,2147.625,2274.375,22972.208333333332,5375.0,3734.0,27672.0
2015-09-21,1784.625,2225.9166666666665,27958.375,4292.0,4406.0,32629.0
2015-09-22,2098.6666666666665,5321.875,28599.125,5467.0,7947.0,32433.0
2015-09-23,1995.6666666666667,5077.916666666667,28379.0,5097.0,6722.0,32102.0
2015-09-24,1970.2916666666667,2634.8333333333335,28028.5,5013.0,4625.0,31967.0
2015-09-25,1800.125,2027.7083333333333,27977.083333333332,4771.0,2662.0,31554.0
2015-09-26,1553.2083333333333,1683.625,24964.875,4375.0,3292.0,28253.0
2015-09-27,1720.625,3675.2916666666665,23076.958333333332,4897.0,7140.0,27506.0
2015-09-28,1373.5833333333333,4315.125,27721.583333333332,3700.0,5250.0,32046.0
2015-09-29,1034.0416666666667,2984.0416666666665,28077.291666666668,3023.0,5735.0,32293.0
2015-09-30,1624.9583333333333,1939.125,28306.625,4759.0,3698.0,32129.0
2015-10-01,979.0,3977.2916666666665,28794.583333333332,3397.0,5397.0,33296.0
2015-10-02,673.4782608695652,3740.086956521739,33435.09090909091,2537.0,5114.0,39735.0
2015-10-03,2019.25,1322.2916666666667,29392.625,5292.0,5134.0,34789.0
2015-10-04,1198.375,3930.4166666666665,28086.0,3399.0,5268.0,32379.0
2015-10-05,2285.2083333333335,4482.416666666667,23561.708333333332,5334.0,5280.0,27366.0
2015-10-06,1322.0,4587.125,30134.083333333332,3577.0,5711.0,34217.0
2015-10-07,2481.2916666666665,4041.2083333333335,32173.333333333332,5327.0,6237.0,37684.0
2015-10-08,1703.4166666666667,2504.7916666666665,28862.833333333332,4625.0,4340.0,33691.0
